City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
Ambanja,-13.68,48.45,23.49,63,88,1.27,MG,1596690257
Severo-Yeniseyskiy,60.37,93.04,22.25,48,0,2.14,RU,1596690106
Osakarovka,50.56,72.57,24.16,41,0,6.81,KZ,1596690258
Trincomalee,8.57,81.23,31.21,59,100,9.06,LK,1596690258
Moose Factory,51.26,-80.61,14.0,76,90,3.1,CA,1596690258
Sørland,67.67,12.69,13.0,87,38,8.89,NO,1596690259
Xiangfan,32.04,112.14,33.67,63,95,5.83,CN,1596690259
Novaya Bryan’,51.72,108.27,19.0,88,75,6.0,RU,1596690259
Tiznit Province,29.58,-9.5,17.12,89,49,0.45,MA,1596689815
Hobart,-42.88,147.33,11.11,57,75,7.2,AU,1596689966
Khedbrahma,24.03,73.05,33.01,61,64,4.52,IN,1596690260
Richards Bay,-28.78,32.04,17.1,79,0,6.03,ZA,1596690260
Lyngseidet,69.58,20.22,13.0,76,0,5.1,NO,1596690260
Zyryanovsk,49.74,84.27,25.99,42,0,0.95,KZ,1596690261
Conde,-7.26,-34.91,22.0,94,90,3.1,BR,1596690261
San Patricio,19.22,-104.7,27.24,82,100,1.05,MX,1596690261
Lagoa,39.05,-27.98,21.32,75,100,6.33,PT,1596689735
Grand-Bourg,15.88,-61.31,26.0,78,20,2.6,GP,1596690262
Gouyave,12.16,-61.73,28.0,78,20,5.1,GD,1596690262
Assiniboia,49.63,-105.98,20.17,44,0,4.61,CA,1596690262
Vaini,-21.2,-175.2,23.0,73,75,2.6,TO,1596690262
Aklavik,68.22,-135.01,12.0,93,90,3.6,CA,1596690263
Clyde River,70.47,-68.59,2.0,84,40,4.6,CA,1596689436
Chilmāri,25.56,89.67,27.54,88,97,5.78,BD,1596690263
Mar del Plata,-38.0,-57.56,14.0,58,21,4.6,AR,1596690263
Esmeraldas,-19.76,-44.31,15.0,71,0,2.1,BR,1596689824
Talnakh,69.49,88.4,18.0,59,40,4.0,RU,1596690264
Tocopilla,-22.09,-70.2,14.18,65,65,0.78,CL,1596690264
Mandiana,10.63,-8.68,21.02,95,100,3.12,GN,1596690264
Nokaneng,-19.67,22.27,10.15,45,0,1.16,BW,1596690265
Amalāpuram,16.58,82.02,28.0,78,75,5.1,IN,1596690265
Wonthaggi,-38.6,145.59,13.33,75,14,4.54,AU,1596690265
Saldanha,-33.01,17.94,4.0,80,0,4.55,ZA,1596689681
Tezu,27.92,96.17,35.92,45,9,1.5,IN,1596690266
Latung,5.5,120.88,28.49,74,44,3.69,PH,1596690266
Nemuro,43.32,145.57,20.0,94,75,3.1,JP,1596690266
Bredasdorp,-34.53,20.04,7.0,81,63,4.1,ZA,1596690266
Alofi,-19.06,-169.92,25.0,94,22,3.1,NU,1596690064
Yerbogachën,61.28,108.01,25.5,41,86,4.97,RU,1596690078
Charters Towers,-20.1,146.27,26.33,42,44,7.5,AU,1596690267
Bathsheba,13.22,-59.52,27.0,83,40,7.2,BB,1596690063
Merauke,-8.47,140.33,26.82,82,41,6.69,ID,1596690268
Aljezur,37.32,-8.8,21.65,57,0,2.49,PT,1596690268
Lüderitz,-26.65,15.16,11.0,53,0,9.8,NA,1596689711
Kenora,49.82,-94.43,20.0,64,20,2.6,CA,1596690269
Avera,33.19,-82.53,23.0,88,1,2.17,US,1596690269
Kumul,42.8,93.45,35.16,14,5,3.75,CN,1596689730
Katsuura,35.13,140.3,34.44,70,40,8.2,JP,1596690270
Viedma,-40.81,-63.0,7.22,59,0,1.79,AR,1596690270
Rājula,21.05,71.43,27.34,87,100,8.27,IN,1596690270
Nampula,-15.12,39.27,18.22,87,19,1.23,MZ,1596690270
Griffith,41.53,-87.42,18.89,77,75,2.22,US,1596690092
Manta,-0.95,-80.73,21.0,88,20,2.6,EC,1596690271
Peace River,56.25,-117.29,18.0,77,75,2.1,CA,1596690164
Guaranda,-1.6,-79.0,11.0,65,30,4.18,EC,1596690272
Flagstaff,35.2,-111.65,20.56,23,1,3.04,US,1596690272
Tilichiki,60.47,166.1,14.65,51,25,5.86,RU,1596690273
Zhalantun,48.0,122.72,21.39,66,88,3.21,CN,1596690273
East London,-33.02,27.91,12.0,93,90,11.8,ZA,1596690219
Lompoc,34.64,-120.46,14.0,93,55,3.6,US,1596690038
Chui,-33.7,-53.46,16.69,86,0,4.21,UY,1596690274
Bandarbeyla,9.49,50.81,28.48,55,100,15.15,SO,1596689836
Narsaq,60.92,-46.05,6.0,75,78,1.0,GL,1596689801
Aden,12.78,45.04,30.59,65,100,8.29,YE,1596689983
Cabras,39.93,8.53,18.89,92,0,1.87,IT,1596690275
Tadine,-21.55,167.88,21.95,62,23,3.93,NC,1596690275
Lorengau,-2.02,147.27,28.86,71,100,4.26,PG,1596690276
Baghlan,36.13,68.71,33.99,14,0,1.57,AF,1596690276
Qinhuangdao,39.93,119.59,29.12,65,30,4.53,CN,1596690276
Mananjary,-21.22,48.33,19.29,81,38,1.92,MG,1596690277
San Borja,-14.82,-66.85,21.16,66,0,1.31,BO,1596690277
Stromness,58.97,-3.3,12.0,93,58,1.0,GB,1596690278
Toppenish,46.38,-120.31,28.0,37,1,3.6,US,1596690278
Marsabit,2.33,37.99,16.11,96,72,6.6,KE,1596690278
Nanyamba,-10.68,39.83,19.0,100,20,5.1,TZ,1596690279
Oildale,35.42,-119.02,26.0,36,1,4.1,US,1596690279
Vuktyl,63.86,57.31,21.07,57,52,5.2,RU,1596690279
Mkushi,-13.62,29.39,14.68,58,0,2.55,ZM,1596690280
Sioux Lookout,50.1,-91.92,17.0,72,20,1.5,CA,1596690280
Salta,-24.79,-65.41,17.0,63,0,2.6,AR,1596690208
Morant Bay,17.88,-76.41,29.0,62,20,3.1,JM,1596690281
Srandakan,-7.94,110.25,28.55,63,61,7.62,ID,1596690281
Vestmannaeyjar,63.44,-20.27,10.74,85,89,5.8,IS,1596690028
Sola,-13.88,167.55,24.64,82,1,9.32,VU,1596690282
Asău,46.43,26.4,19.44,75,0,1.72,RO,1596690282
Gopālpur,19.27,84.92,30.97,70,100,9.2,IN,1596690199
Zangakatun,39.82,45.04,24.0,31,3,1.5,AM,1596690283
Aykhal,66.0,111.5,26.0,24,2,2.0,RU,1596690283
Bien Hoa,10.95,106.82,30.0,74,75,4.1,VN,1596690283
Lüleburgaz,41.4,27.36,21.0,88,20,4.1,TR,1596690284
Isangel,-19.55,169.27,22.49,59,1,4.31,VU,1596690284
Port Blair,11.67,92.75,29.03,78,100,6.02,IN,1596690284
Te Anau,-45.42,167.72,9.2,88,100,1.22,NZ,1596690057
Ventspils,57.39,21.56,16.0,93,80,2.1,LV,1596690285
Touros,-5.2,-35.46,22.0,88,40,2.1,BR,1596690285
Tigil',57.8,158.67,17.55,49,24,5.7,RU,1596690285
Sabzawār,36.21,57.68,27.62,20,1,6.33,IR,1596690286
Fortuna,40.6,-124.16,15.56,94,59,2.37,US,1596689721
Udachny,66.42,112.4,26.0,24,12,2.0,RU,1596690286
Bilibino,68.05,166.44,8.09,82,100,2.24,RU,1596689757
Ati,13.22,18.34,23.52,90,99,5.26,TD,1596690126
Kumo,10.04,11.21,21.56,91,100,8.43,NG,1596690287
Havelock,34.88,-76.9,28.33,100,20,1.5,US,1596690287
Bousso,10.48,16.71,22.26,94,100,3.8,TD,1596690288
Ajdabiya,30.76,20.23,27.69,32,0,4.99,LY,1596690288
Korla,41.76,86.15,33.29,16,35,3.03,CN,1596689847
Zheleznodorozhnyy,55.75,38.0,21.11,82,100,1.0,RU,1596690138
Maple Creek,49.92,-109.48,22.31,32,0,5.01,CA,1596690124
Sitka,57.05,-135.33,14.0,82,90,4.1,US,1596690289
Simpang,-1.27,104.08,31.74,58,100,1.56,ID,1596690290
Atikokan,48.76,-91.62,14.86,78,30,2.27,CA,1596690290
Gorno-Altaysk,51.96,85.95,22.87,53,0,2.27,RU,1596690290
Rumphi,-11.02,33.86,17.03,63,0,1.62,MW,1596690291
Saskylakh,71.92,114.08,21.0,46,93,6.31,RU,1596690291
Karīmnagar,18.43,79.15,27.0,82,99,5.43,IN,1596690291
Salalah,17.02,54.09,26.0,88,90,3.1,OM,1596689725
La Sarre,48.8,-79.2,10.67,97,99,4.77,CA,1596690292
Airai,-8.93,125.41,23.95,53,5,1.25,TL,1596689757
Ambunti,-4.24,142.84,23.81,98,100,0.57,PG,1596690292
Nānākuli,21.39,-158.15,29.0,54,90,3.1,US,1596690293
Zhezkazgan,47.8,67.71,30.0,27,75,5.0,KZ,1596690293
Denpasar,-8.65,115.22,28.0,69,20,6.2,ID,1596689875
Faanui,-16.48,-151.75,25.78,81,10,6.44,PF,1596690294
Rio Grande,-32.03,-52.1,15.56,86,0,4.87,BR,1596690294
Cham,47.18,8.46,13.33,93,28,0.49,CH,1596690294
Staryy Saltiv,50.08,36.79,21.0,56,0,2.0,UA,1596690295
Port Hardy,50.7,-127.42,13.0,100,75,1.5,CA,1596690037
Altay,47.87,88.12,26.63,29,5,4.64,CN,1596689848
Krasnyy Chikoy,50.36,108.75,24.28,62,100,1.22,RU,1596690295
Kieta,-6.22,155.63,29.64,62,99,2.67,PG,1596690296
Lábrea,-7.26,-64.8,24.94,50,19,0.23,BR,1596690296
Kinablangan,7.69,126.55,28.81,71,90,1.69,PH,1596690296
Bonfim,3.08,-59.95,24.01,87,13,0.51,BR,1596690296
Byron Bay,-28.65,153.62,20.0,48,0,5.1,AU,1596690297
La Rioja,42.25,-2.5,15.0,72,0,2.25,ES,1596690297
Huanren,41.26,125.37,28.04,58,12,3.65,CN,1596690297
São Paulo de Olivença,-3.38,-68.87,25.18,67,88,0.32,BR,1596690297
Ahipara,-35.17,173.17,14.18,92,100,5.43,NZ,1596690298
Margate,51.38,1.39,18.33,79,81,0.89,GB,1596689734
Winnemucca,40.97,-117.74,26.0,22,1,5.1,US,1596690298
Harper,4.38,-7.72,21.81,77,77,2.78,LR,1596690299
Elk City,35.41,-99.4,24.0,73,1,2.6,US,1596690299
Nha Trang,12.25,109.18,33.0,66,20,4.6,VN,1596690011
Sur,22.57,59.53,32.33,53,17,2.49,OM,1596689846
Sibolga,1.74,98.78,31.25,54,94,2.32,ID,1596690300
Valparaíso,-33.04,-71.63,12.22,72,63,7.52,CL,1596690300
Husavik,66.04,-17.34,11.0,76,89,4.6,IS,1596689744
Mehamn,71.04,27.85,11.62,80,96,1.14,NO,1596689701
Cidreira,-30.18,-50.21,15.52,80,0,2.01,BR,1596689772
Sulangan,11.14,123.72,27.8,76,77,1.38,PH,1596690302
Korsholm,63.11,21.68,14.44,93,90,3.1,FI,1596690302
Gualan,15.13,-89.37,23.67,83,100,0.43,GT,1596690302
Sept-Îles,50.2,-66.38,15.0,93,20,2.6,CA,1596690287
Kulhudhuffushi,6.62,73.07,28.15,80,96,9.52,MV,1596690303
São Filipe,14.9,-24.5,25.66,83,31,3.05,CV,1596690303
Honiara,-9.43,159.95,33.0,59,40,6.2,SB,1596690303
Mae Hong Son,19.3,97.97,29.0,74,75,2.1,TH,1596690067
Ishigaki,24.34,124.16,31.0,84,20,3.6,JP,1596690304
Totskoye,52.52,52.76,23.93,69,0,5.45,RU,1596690304
Shingū,33.73,135.98,30.0,79,20,3.1,JP,1596690304
Acapulco de Juárez,16.86,-99.89,27.5,80,100,1.88,MX,1596689845
San Cristobal,7.77,-72.22,18.76,91,93,1.68,VE,1596689639
Zhangjiakou,40.81,114.88,29.25,41,99,5.2,CN,1596690305
Abadan,38.05,58.21,25.0,53,40,5.1,TM,1596690305
Severo-Kuril'sk,50.68,156.12,12.34,82,92,5.42,RU,1596690305
Praia da Vitória,38.73,-27.07,21.0,83,75,3.66,PT,1596689747
Buin,-33.73,-70.75,11.11,81,94,1.5,CL,1596689717
Kralendijk,12.15,-68.27,28.0,78,57,7.2,BQ,1596690099
Mananara,-16.17,49.77,20.54,81,33,1.97,MG,1596690307
Ayacucho,-13.16,-74.22,10.24,67,0,0.47,PE,1596690307
Capâo Bonito,-24.01,-48.35,12.15,95,53,1.83,BR,1596690307
Charleville-Mézières,49.77,4.72,19.44,52,40,2.1,FR,1596690307
Galveston,29.37,-94.97,30.0,74,1,3.6,US,1596690308
Praia,14.92,-23.51,26.0,83,20,1.5,CV,1596690308
Qaqortoq,60.72,-46.03,6.0,75,87,1.0,GL,1596689812
Rome,43.21,-75.46,17.0,82,90,1.21,US,1596690107
Leningradskiy,69.38,178.42,2.38,90,100,3.76,RU,1596690309
Kabul,34.5,69.42,27.0,24,0,3.1,AF,1596690050
Chepareria,1.31,35.2,16.66,83,99,0.9,KE,1596690309
Lugovskoy,56.96,64.53,23.0,73,38,4.0,RU,1596690310
Ancud,-41.87,-73.82,5.0,86,90,2.1,CL,1596690096
Sorong,-0.88,131.25,26.37,85,82,4.04,ID,1596690310
Mount Isa,-20.73,139.5,29.0,28,90,9.3,AU,1596690311
Nefteyugansk,61.1,72.6,23.0,53,0,4.0,RU,1596690311
Tutóia,-2.76,-42.27,25.43,81,4,4.23,BR,1596690311
Comodoro Rivadavia,-45.87,-67.5,5.0,52,0,8.7,AR,1596690311
Inhambane,-23.86,35.38,17.0,93,75,2.1,MZ,1596690312
Sinjār,36.32,41.88,32.25,24,0,2.05,IQ,1596690312
Naustdal,61.51,5.72,15.0,93,75,1.5,NO,1596690313
Marawi,8.0,124.29,28.89,84,58,2.68,PH,1596689852
Sinnamary,5.38,-52.95,25.31,87,100,3.64,GF,1596689840
Port Hawkesbury,45.62,-61.35,19.44,93,1,1.5,CA,1596690313
Saint-Augustin,51.23,-58.65,15.55,91,100,3.73,CA,1596690314
Babayurt,43.6,46.78,25.33,48,2,4.64,RU,1596690314
Tuensang,26.28,94.83,33.57,43,9,0.47,IN,1596690315
Kaeo,-35.1,173.78,15.56,3,100,4.02,NZ,1596690315
Upernavik,72.79,-56.15,2.55,94,100,2.94,GL,1596690316
Aktau,43.65,51.2,20.0,77,20,3.0,KZ,1596690316
Flin Flon,54.77,-101.86,18.64,56,0,2.06,CA,1596690037
Rochegda,62.8,43.25,15.99,92,74,1.98,RU,1596690316
Bay Roberts,47.6,-53.26,13.89,1,10,4.98,CA,1596689810
Buraidah,26.33,43.98,25.0,38,22,3.1,SA,1596690317
San Quintín,30.48,-115.95,18.77,86,0,7.25,MX,1596690317
Siyabuswa,-25.11,29.04,7.7,85,0,1.1,ZA,1596690318
Sigli,5.38,95.96,30.41,63,89,2.61,ID,1596690318
Guarapari,-20.67,-40.5,18.0,93,75,1.0,BR,1596690318
Beyneu,45.32,55.2,24.17,48,49,5.39,KZ,1596689826
Dingle,11.0,122.67,30.78,70,73,0.94,PH,1596690064
Broome,42.25,-75.83,17.0,67,1,3.6,US,1596689788
Kemin,42.78,75.69,29.34,26,0,1.99,KG,1596690319
Saint Anthony,45.02,-93.22,19.0,88,1,2.44,US,1596690020
Bubaque,11.28,-15.83,26.23,84,74,8.53,GW,1596690320
Salinas,36.68,-121.66,19.0,68,90,6.7,US,1596689727
Caraz,-9.05,-77.81,14.93,35,0,2.35,PE,1596690320
Padang,-0.95,100.35,30.36,62,100,2.12,ID,1596689795
Ballina,-28.87,153.57,21.0,48,0,5.1,AU,1596690321
Safi,32.3,-9.24,21.34,89,71,1.65,MA,1596690321
Burnie,-41.07,145.92,13.33,52,0,4.47,AU,1596690321
Caluquembe,-13.78,14.68,8.19,81,0,0.64,AO,1596689825
Iwanai,42.97,140.51,22.31,92,100,0.73,JP,1596690322
Esperance,-33.87,121.9,13.0,76,75,5.7,AU,1596690322
Mana,5.66,-53.78,25.36,88,99,3.8,GF,1596689777
Cururupu,-1.83,-44.87,22.99,92,15,1.44,BR,1596690323
Ugoofaaru,5.67,73.0,27.92,81,95,7.68,MV,1596690323
Kalach-na-Donu,48.69,43.53,25.0,61,0,7.0,RU,1596690323
Ferrol,43.48,-8.24,18.0,93,75,1.0,ES,1596690324
Biak,-0.91,122.88,27.65,75,75,2.64,ID,1596690036
Kuytun,54.34,101.5,14.18,97,100,3.7,RU,1596690325
Wanlaweyn,2.62,44.89,24.86,74,52,7.08,SO,1596690325
Dryden,49.78,-92.75,19.0,63,1,3.1,CA,1596690185
Klerksdorp,-26.85,26.67,7.94,52,0,2.97,ZA,1596690326
Bani Walid,31.76,13.99,22.24,77,81,3.99,LY,1596690326
Blytheville,35.93,-89.92,20.0,82,1,2.6,US,1596690192
Khanbari,27.37,87.2,29.27,65,37,2.29,NP,1596690326
Olafsvik,64.89,-23.71,10.03,86,98,6.06,IS,1596690327
Mazagão,-0.12,-51.29,27.0,100,75,1.5,BR,1596690327
Sobolevo,54.43,31.9,18.03,94,96,3.12,RU,1596690327
Papetoai,-17.5,-149.87,26.0,69,40,3.1,PF,1596690328
Santa Lucía,27.91,-15.54,22.0,78,20,7.2,ES,1596690328
Märsta,59.62,17.85,16.67,100,75,3.6,SE,1596690328
Noboribetsu,42.45,141.17,26.67,83,75,4.1,JP,1596690328
Larsnes,62.2,5.58,15.56,87,75,8.7,NO,1596690329
Muros,42.78,-9.06,18.33,84,0,0.89,ES,1596690329
Tagusao,9.19,117.81,28.47,77,64,2.65,PH,1596690329
Sumbe,-11.21,13.84,20.11,90,8,2.25,AO,1596690246
Sabang,5.89,95.32,28.58,73,98,1.92,ID,1596690330
San Roque,36.21,-5.38,24.0,78,20,5.1,ES,1596690330
Kodinsk,58.69,99.18,26.44,41,100,3.58,RU,1596690330
Orangeburg,33.49,-80.86,24.44,100,75,1.5,US,1596690331
Coahuayana Viejo,18.73,-103.68,27.07,83,99,0.83,MX,1596690331
Sawtell,-30.38,153.1,17.22,36,0,3.6,AU,1596690331
Nacala,-14.54,40.67,21.45,83,5,3.35,MZ,1596690331
